date,hour,pickup_community_area,day_of_week,demand,temperature,zone_name,is_holiday,n_crashes,congestion_speed
2023-02-17,1,18,6,0,-1.1,MONTCLARE,0,0,20.67626436781609
2023-02-17,1,10,6,1,-1.1,NORWOOD PARK,0,0,20.67626436781609
2023-02-17,1,3,6,0,-1.1,UPTOWN,0,0,20.67626436781609
2023-02-17,1,1,6,0,-1.1,ROGERS PARK,0,0,20.67626436781609
2023-02-17,1,34,6,0,-1.1,ARMOUR SQUARE,0,0,20.67626436781609
2023-02-17,1,27,6,0,-1.1,EAST GARFIELD PARK,0,0,20.67626436781609
2023-02-17,1,56,6,23,-1.1,GARFIELD RIDGE,0,0,20.67626436781609
2023-02-17,1,50,6,0,-1.1,PULLMAN,0,0,20.67626436781609
2023-02-17,1,20,6,0,-1.1,HERMOSA,0,0,20.67626436781609
2023-02-17,1,53,6,0,-1.1,WEST PULLMAN,0,1,20.67626436781609
2023-02-17,1,61,6,0,-1.1,NEW CITY,0,0,20.67626436781609
2023-02-17,1,6,6,10,-1.1,LAKE VIEW,0,0,20.67626436781609
2023-02-17,1,23,6,0,-1.1,HUMBOLDT PARK,0,0,20.67626436781609
2023-02-17,1,9,6,0,-1.1,EDISON PARK,0,0,20.67626436781609
2023-02-17,1,48,6,0,-1.1,CALUMET HEIGHTS,0,0,20.67626436781609
2023-02-17,1,73,6,1,-1.1,WASHINGTON HEIGHTS,0,0,20.67626436781609
2023-02-17,1,30,6,0,-1.1,SOUTH LAWNDALE,0,0,20.67626436781609
2023-02-17,1,42,6,0,-1.1,WOODLAWN,0,0,20.67626436781609
2023-02-17,1,36,6,0,-1.1,OAKLAND,0,0,20.67626436781609
2023-02-17,1,55,6,0,-1.1,HEGEWISCH,0,0,20.67626436781609
2023-02-17,1,24,6,3,-1.1,WEST TOWN,0,0,20.67626436781609
2023-02-17,1,63,6,0,-1.1,GAGE PARK,0,0,20.67626436781609
2023-02-17,1,16,6,0,-1.1,IRVING PARK,0,0,20.67626436781609
2023-02-17,1,69,6,3,-1.1,GREATER GRAND CROSSING,0,0,20.67626436781609
2023-02-17,1,72,6,0,-1.1,BEVERLY,0,0,20.67626436781609
2023-02-17,1,54,6,0,-1.1,RIVERDALE,0,0,20.67626436781609
2023-02-17,1,22,6,2,-1.1,LOGAN SQUARE,0,1,20.67626436781609
2023-02-17,1,39,6,0,-1.1,KENWOOD,0,0,20.67626436781609
2023-02-17,1,51,6,0,-1.1,SOUTH DEERING,0,0,20.67626436781609
2023-02-17,1,49,6,0,-1.1,ROSELAND,0,0,20.67626436781609
2023-02-17,1,58,6,0,-1.1,BRIGHTON PARK,0,0,20.67626436781609
2023-02-17,1,33,6,2,-1.1,NEAR SOUTH SIDE,0,0,20.67626436781609
2023-02-17,1,52,6,0,-1.1,EAST SIDE,0,0,20.67626436781609
2023-02-17,1,43,6,0,-1.1,SOUTH SHORE,0,0,20.67626436781609
2023-02-17,1,4,6,2,-1.1,LINCOLN SQUARE,0,0,20.67626436781609
2023-02-17,1,45,6,1,-1.1,AVALON PARK,0,0,20.67626436781609
